id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces
0,City Hotel,161,2016,April,17,22,1,2,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,23.0,,0,Transient-Party,80.0,0
1,City Hotel,25,2016,May,21,21,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,155.0,1
2,City Hotel,56,2017,March,13,30,0,3,1,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.8,0
3,Resort Hotel,21,2015,July,28,10,1,2,2,0.0,0,BB,AUS,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,98.0,0
4,City Hotel,223,2017,July,27,8,1,1,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,107.1,0
5,Resort Hotel,0,2017,August,33,14,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,250.0,,0,Transient,225.0,0
6,Resort Hotel,78,2016,June,23,4,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,116.0,0
7,Resort Hotel,317,2016,December,53,30,0,2,2,0.0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Transient,72.0,0
8,City Hotel,5,2015,December,50,9,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,103.0,,0,Transient,62.0,0
9,City Hotel,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0
10,City Hotel,433,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0
11,Resort Hotel,0,2016,July,28,8,0,1,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,159.0,1
12,City Hotel,12,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,37.0,,0,Transient-Party,85.67,0
13,City Hotel,163,2017,July,27,3,1,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,116.1,0
14,City Hotel,14,2016,October,43,22,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0
15,Resort Hotel,121,2016,July,31,26,0,4,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,162.15,0
16,City Hotel,199,2016,October,44,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,29.0,,0,Transient-Party,95.0,0
